trade_id,symbol,side,entry_time_utc,exit_time_utc,entry_price,exit_price,quantity,holding_minutes,exit_reason,gross_pnl_quote,fees_quote_total,net_pnl_quote,entry_notional_quote,exit_notional_quote,executed_quantity,was_tp_exit,was_sl_exit,was_forced_exit,trade_won
bt-trade-42,BTCUSDT,BUY,2025-05-10T20:30:00+00:00,2025-05-10T20:45:00+00:00,103339.89412500,102866.6926040535714285714285,0.082,15.0,STOP_LOSS,-47.276396035857142857142863,8.43506879353239285714285714,-55.71146482938953571428572014,8473.87131825000,8435.068793532392857142857137,0.082,False,True,False,False
bt-trade-43,BTCUSDT,BUY,2025-05-10T21:00:00+00:00,2025-05-10T21:45:00+00:00,103325.37687000,103640.556870000,0.081,45.0,TAKE_PROFIT,17.16022447353000,8.394885106470000,8.765339367060000,8369.35552647000,8394.885106470000,0.081,True,False,False,True
bt-trade-44,BTCUSDT,BUY,2025-05-11T00:30:00+00:00,2025-05-11T01:45:00+00:00,104467.04742000,103766.3274448828571428571428,0.080,75.0,STOP_LOSS,-64.414961802971428571428576,8.30130619559062857142857142,-72.71626799856205714285714742,8357.36379360000,8301.306195590628571428571424,0.080,False,True,False,False
bt-trade-45,BTCUSDT,BUY,2025-05-11T04:00:00+00:00,2025-05-11T04:30:00+00:00,104386.53718500,103761.3984698735714285714285,0.080,30.0,STOP_LOSS,-58.362020184914285714285720,8.30091187758988571428571428,-66.66293206250417142857143428,8350.92297480000,8300.911877589885714285714280,0.080,False,True,False,False
bt-trade-46,BTCUSDT,BUY,2025-05-11T08:00:00+00:00,2025-05-11T09:30:00+00:00,103851.88999500,104315.099995000,0.079,90.0,TAKE_PROFIT,28.38929069039500,8.240892899605000,20.148397790790000,8204.29930960500,8240.892899605000,0.079,True,False,False,True
bt-trade-47,BTCUSDT,BUY,2025-05-11T14:30:00+00:00,2025-05-11T15:45:00+00:00,104294.37112500,103718.2387073392857142857143,0.079,75.0,STOP_LOSS,-53.753716314071428571428570,8.19374085787980357142857143,-61.94745717195123214285714143,8239.25531887500,8193.740857879803571428571430,0.079,False,True,False,False
bt-trade-48,BTCUSDT,BUY,2025-05-11T18:30:00+00:00,2025-05-11T20:00:00+00:00,104540.82429000,103923.705047130000,0.078,90.0,STOP_LOSS,-56.289485238480000,8.106048993676140000,-64.395534232156140000,8154.18429462000,8106.048993676140000,0.078,False,True,False,False
bt-trade-49,BTCUSDT,BUY,2025-05-11T21:45:00+00:00,2025-05-11T22:00:00+00:00,104401.17450000,103823.8792072142857142857143,0.078,15.0,STOP_LOSS,-53.172324448285714285714285,8.09826257816271428571428572,-61.27058702644842857142857072,8143.29161100000,8098.262578162714285714285715,0.078,False,True,False,False
bt-trade-50,BTCUSDT,BUY,2025-05-11T23:15:00+00:00,2025-05-12T00:30:00+00:00,104033.27064000,104613.7677828571428571428571,0.078,75.0,TAKE_PROFIT,37.164182032937142857142854,8.15987388706285714285714285,29.00430814587428571428571115,8114.59510992000,8159.873887062857142857142854,0.078,True,False,False,True
bt-trade-51,BTCUSDT,BUY,2025-05-12T03:45:00+00:00,2025-05-12T04:15:00+00:00,104152.18006500,103520.9413205192857142857143,0.078,30.0,STOP_LOSS,-57.360492114565714285714285,8.07463342300050428571428572,-65.43512553756621857142857072,8123.87004507000,8074.633423000504285714285715,0.078,False,True,False,False
bt-trade-52,BTCUSDT,BUY,2025-05-12T04:45:00+00:00,2025-05-12T05:00:00+00:00,104124.73635000,103560.161020950000,0.077,15.0,STOP_LOSS,-51.489905035800000,7.974132398613150000,-59.464037434413150000,8017.60469895000,7974.132398613150000,0.077,False,True,False,False
bt-trade-53,BTCUSDT,BUY,2025-05-12T05:30:00+00:00,2025-05-12T07:00:00+00:00,104017.00251000,104467.4867957142857142857143,0.077,90.0,TAKE_PROFIT,26.677980806730000000000001,8.04399648327000000000000000,18.63398432346000000000000100,8009.30919327000,8043.996483270000000000000001,0.077,True,False,False,True
bt-trade-54,BTCUSDT,BUY,2025-05-12T08:30:00+00:00,2025-05-12T11:45:00+00:00,104577.25249500,103829.6505503721428571428572,0.076,195.0,STOP_LOSS,-64.765618981337142857142853,7.89105344182828285714285715,-72.65667242316542571428571015,7947.87118962000,7891.053441828282857142857147,0.076,False,True,False,False
